+24,750,ัว 2์/๑,+19,749,ัว 2์/๑
+22,748,ว 3์/๑,+21,744,ว 3์/๑
+6,743,ั 2์/๑,+7,745,ั 2์/๑
+11,745,ั 2์/๑,+9,741,ั 2์/๑
+14,740,ั 3์/๑,+8,744,ั 3์/๑
+13,740,ว 2์/๑,+8,741,ว 2์/๑
+18,741,ว 3์/๑,+10,746,ว 3์/๑
+16,751,ว 1์/๑,+8,751,ว 1์/๑
+21,751,Þ 3์/๑,+20,751,Þ 3์/๑
+27,752,ว 2์/๑,+22,752,ว 2์/๑
+27,753,ว 2์/๑,+18,754,ว 2์/๑
+29,757,ว 2์/๑,+21,757,ว 2์/๑
+30,758,Þว 3์/๑,+22,756,Þว 3์/๑
+26,755,ั 2์/๑,+19,754,ั 2์/๑
+21,748,ุ,+21,748,ุ
+29,746,ว 2์/๑,+20,746,ว 2์/๑
+24,748,Þย 2์/๑,+17,749,Þย 2์/๑
+21,752,ัย 3์/๑,+16,754,ัย 3์/๑
+22,754,ย 2์/๑,+17,754,ย 2์/๑
+21,753,ว 1์/๑,+18,752,ว 1์/๑
+25,754,ย 2์/๑,+16,755,ย 2์/๑
+27,758,ว 2์/๑,+17,758,ว 2์/๑
+27,758,ว 1์/๑,+19,757,ว 1์/๑
+27,755,ั 1์/๑,+19,754,ั 1์/๑
+27,752,ว 1์/๑,+23,749,ว 1์/๑
+26,746,Þ 1์/๑,+22,745,Þ 1์/๑
+12,749,ั 4์/๑,+12,750,ั 4์/๑
+15,749,ย 3์/๑,+15,749,ย 3์/๑
+21,743,ย 2์/๑,+20,742,ย 2์/๑
+25,741,ว 2์/๑,+20,741,ว 2์/๑
+18,743,ว 3์/๑,+12,745,ว 3์/๑
+25,746,ว 2์/๑,+16,747,ว 2์/๑
+27,749,Þว 2์/๑,+22,748,Þว 2์/๑
+23,746,Þย 1์/๑,+22,746,Þย 1์/๑
+26,746,ว 2์/๑,+22,746,ว 2์/๑
+25,746,ว 2์/๑,+19,746,ว 2์/๑
+20,743,ว 5์/๑,+14,746,ว 5์/๑
+12,746,ว 2์/๑,+11,748,ว 2์/๑
+21,749,Þว 2์/๑,+19,749,Þว 2์/๑
+22,747,ุ,+21,746,ุ
+29,743,ย 2์/๑,+26,741,ย 2์/๑
+33,741,Þว 3์/๑,+21,742,Þว 3์/๑
+25,746,ว 3์/๑,+18,746,ว 3์/๑
+24,749,ัว 3์/๑,+20,747,ัว 3์/๑
+20,746,ว 1์/๑,+17,746,ว 1์/๑
+27,748,ว 2์/๑,+21,746,ว 2์/๑
+34,743,Þว 3์/๑,+24,744,Þว 3์/๑
+33,746,Þว 3์/๑,+28,746,Þว 3์/๑
+31,749,ัย 2์/๑,+20,747,ัย 2์/๑
+31,743,ย 3์/๑,+27,740,ย 3์/๑
+26,740,ั 3์/๑,+21,742,ั 3์/๑
+23,744,ัว 3์/๑,+20,744,ัว 3์/๑
+23,743,ั 3์/๑,+19,743,ั 3์/๑
+21,743,ัย 2์/๑,+19,743,ัย 2์/๑
+26,743,ัย 2์/๑,+21,743,ัย 2์/๑
+19,742,ุ,+18,743,ุ
+24,745,ั 3์/๑,+19,747,ั 3์/๑
+24,747,ั 2์/๑,+18,748,ั 2์/๑
+26,748,ั 2์/๑,+22,748,ั 2์/๑
+29,749,Þ 3์/๑,+25,747,Þ 3์/๑
+30,746,Þย 1์/๑,+25,746,Þย 1์/๑
+29,743,ย 2์/๑,+25,741,ย 2์/๑
+25,740,ัว 2์/๑,+19,742,ัว 2์/๑
+26,746,ว 2์/๑,+22,746,ว 2์/๑
+24,749,ั 3์/๑,+19,751,ั 3์/๑
+19,749,ัย 2์/๑,+19,746,ัย 2์/๑
+25,747,Þย 2์/๑,+22,747,Þย 2์/๑
+28,749,Þว 1์/๑,+21,749,Þว 1์/๑
+29,750,ัว 2์/๑,+22,749,ัว 2์/๑
+27,749,ัย 2์/๑,+24,748,ัย 2์/๑
+25,747,ย 2์/๑,+20,746,ย 2์/๑
+25,748,ัย 2์/๑,+21,748,ัย 2์/๑
+27,749,ั 2์/๑,+17,749,ั 2์/๑
+30,750,ว 2์/๑,+21,749,ว 2์/๑
+32,750,ย 1์/๑,+28,749,ย 1์/๑
+34,748,ัว 2์/๑,+29,746,ัว 2์/๑
+31,746,Þย 2์/๑,+27,745,Þย 2์/๑
+29,743,ย 2์/๑,+25,743,ย 2์/๑
+32,744,ว 2์/๑,+24,745,ว 2์/๑
+32,745,Þว 2์/๑,+23,744,Þว 2์/๑
+27,742,Þ 3์/๑,+25,739,Þ 3์/๑
+19,742,ว 6์/๑,+16,745,ว 6์/๑
+22,746,Þว 3์/๑,+21,745,Þว 3์/๑
+23,746,Þว 3์/๑,+22,746,Þว 3์/๑
+27,746,Þว 3์/๑,+19,748,Þว 3์/๑
+26,752,ว 3์/๑,+18,754,ว 3์/๑
+29,753,Þว 3์/๑,+22,752,Þว 3์/๑
+23,750,ว 2์/๑,+19,750,ว 2์/๑
+24,750,ว 2์/๑,+20,751,ว 2์/๑
+24,749,ัว 1์/๑,+21,749,ัว 1์/๑
+28,748,Þว 2์/๑,+23,746,Þว 2์/๑
+25,748,ัว 3์/๑,+21,749,ัว 3์/๑
+23,751,ั 3์/๑,+18,752,ั 3์/๑
+25,750,ัย 3์/๑,+17,750,ัย 3์/๑
+26,749,ัว 2์/๑,+19,747,ัว 2์/๑
+30,749,ัว 1์/๑,+22,749,ัว 1์/๑
+32,750,ว 3์/๑,+25,751,ว 3์/๑
+31,750,ั 2์/๑,+26,750,ั 2์/๑
+32,749,ัว 2์/๑,+26,749,ัว 2์/๑
+33,748,ัว 2์/๑,+22,748,ัว 2์/๑
+32,748,ั 1์/๑,+28,749,ั 1์/๑
+31,750,ัว 2์/๑,+26,750,ัว 2์/๑
+33,749,ั 1์/๑,+23,748,ั 1์/๑
+37,745,ว 1์/๑,+23,748,ว 1์/๑
+29,745,ั 2์/๑,+20,745,ั 2์/๑
+22,747,ัว 2์/๑,+21,748,ัว 2์/๑
+27,750,ัย 2์/๑,+24,750,ัย 2์/๑
+30,749,ัย 2์/๑,+25,749,ัย 2์/๑
+28,750,ย 2์/๑,+25,751,ย 2์/๑
+28,748,ย 3์/๑,+21,746,ย 3์/๑
+26,744,ว 2์/๑,+19,745,ว 2์/๑
+21,746,ย 1์/๑,+19,745,ย 1์/๑
+26,740,Þว 3์/๑,+19,740,Þว 3์/๑
+23,745,ัว 2์/๑,+15,746,ัว 2์/๑
+25,744,ว 2์/๑,+20,742,ว 2์/๑
+24,739,ว 2์/๑,+19,739,ว 2์/๑
+19,738,ว 1์/๑,+15,739,ว 1์/๑
+22,741,ั 2์/๑,+17,742,ั 2์/๑
+23,740,ว 3์/๑,+17,742,ว 3์/๑
+21,744,ัว 3์/๑,+15,745,ัว 3์/๑
+20,744,ว 1์/๑,+15,745,ว 1์/๑
+22,748,ัย 2์/๑,+18,748,ัย 2์/๑
+25,748,Þย 1์/๑,+20,749,Þย 1์/๑
+28,747,Þย 2์/๑,+23,745,Þย 2์/๑
+24,741,Þว 3์/๑,+17,740,Þว 3์/๑
+13,745,ั 3์/๑,+12,747,ั 3์/๑
+12,747,ัว 2์/๑,+10,748,ัว 2์/๑
+12,753,ั 2์/๑,+7,754,ั 2์/๑
+16,751,ว 2์/๑,+13,751,ว 2์/๑
+18,749,ัว 1์/๑,+15,748,ัว 1์/๑
+21,746,Þย 1์/๑,+16,747,Þย 1์/๑
+23,748,ว 2์/๑,+15,748,ว 2์/๑
+24,743,Þว 2์/๑,+20,742,Þว 2์/๑
+15,742,ัว 2์/๑,+9,744,ัว 2์/๑
+18,743,Þว 3์/๑,+16,741,Þว 3์/๑
+11,743,ว 4์/๑,+10,745,ว 4์/๑
+12,747,ว 3์/๑,+11,748,ว 3์/๑
+14,747,ว 2์/๑,+11,745,ว 2์/๑
+20,747,ัว 2์/๑,+15,747,ัว 2์/๑
+24,749,ัว 2์/๑,+13,749,ัว 2์/๑
+26,748,ว 3์/๑,+20,747,ว 3์/๑
+27,743,ว 3์/๑,+17,742,ว 3์/๑
+17,749,ั 3์/๑,+11,750,ั 3์/๑
+18,752,ัว 3์/๑,+12,753,ัว 3์/๑
+18,755,ัย 1์/๑,+15,756,ัย 1์/๑
+19,756,ย 2์/๑,+11,756,ย 2์/๑
+22,756,ย 1์/๑,+15,756,ย 1์/๑
+22,755,Þ 2์/๑,+13,755,Þ 2์/๑
+23,751,Þย 2์/๑,+18,750,Þย 2์/๑
+12,743,Þว 2์/๑,+11,744,Þว 2์/๑
+14,741,Þว 5์/๑,+11,743,Þว 5์/๑
+13,748,Þว 2์/๑,+13,750,Þว 2์/๑
+15,753,ั 3์/๑,+8,755,ั 3์/๑
+14,757,ว 2์/๑,+10,756,ว 2์/๑
+14,751,Þ 2์/๑,+14,751,Þ 2์/๑
+18,752,ุ,+12,751,ุ
+13,743,ว 6์/๑,+10,745,ว 6์/๑
+10,754,ัว 4์/๑,+8,755,ัว 4์/๑
+12,755,ั 2์/๑,+6,756,ั 2์/๑
+9,756,Þ 1์/๑,+8,755,Þ 1์/๑
+13,754,Þ 1์/๑,+13,753,Þ 1์/๑
+9,749,Þ 3์/๑,+11,748,Þ 3์/๑
+17,749,ว 2์/๑,+15,748,ว 2์/๑
+21,748,Þ 3์/๑,+15,747,Þ 3์/๑
+23,744,Þย 2์/๑,+18,742,Þย 2์/๑
+12,746,Þว 3์/๑,+10,750,Þว 3์/๑
+15,754,ว 1์/๑,+10,754,ว 1์/๑
+13,750,ย 2์/๑,+12,747,ย 2์/๑
+10,742,ว 2์/๑,+8,743,ว 2์/๑
+7,750,ัว 3์/๑,+6,753,ัว 3์/๑
+10,758,ว 3์/๑,+4,759,ว 3์/๑
+13,760,ุ,+10,760,ุ
+10,758,ย 2์/๑,+9,758,ย 2์/๑
+15,759,Þว 2์/๑,+14,760,Þว 2์/๑
+17,761,Þว 3์/๑,+12,761,Þว 3์/๑
+17,756,Þว 4์/๑,+13,755,Þว 4์/๑
+13,754,ว 2์/๑,+12,750,ว 2์/๑
+11,747,ว 2์/๑,+4,750,ว 2์/๑
+1,756,ั 2์/๑,+1,757,ั 2์/๑
+3,752,ย 1์/๑,+3,751,ย 1์/๑
+3,748,ว 2์/๑,+3,747,ว 2์/๑
+4,739,Þ 2์/๑,+5,738,Þ 2์/๑
+6,753,Þย 2์/๑,+6,753,Þย 2์/๑
+14,747,Þ 4์/๑,+10,747,Þ 4์/๑
+2,753,ย 2์/๑,+2,752,ย 2์/๑
+14,750,Þย 3์/๑,+13,751,Þย 3์/๑
+6,756,ว 1์/๑,+3,757,ว 1์/๑
+1,758,ั 1์/๑,+1,759,ั 1์/๑
+4,757,ว 2์/๑,0,756,ว 2์/๑
+2,754,Þว 3์/๑,+3,754,Þว 3์/๑
+7,752,Þว 2์/๑,+5,752,Þว 2์/๑
+11,748,Þย 1์/๑,+10,746,Þย 1์/๑
+8,744,ุ,+5,745,ุ
+6,743,Þว 3์/๑,+4,743,Þว 3์/๑
+3,748,Þว 2์/๑,+5,748,Þว 2์/๑
+2,749,ัว 3์/๑,-1,752,ัว 3์/๑
0,760,ั 3์/๑,-1,760,ั 3์/๑
-1,761,Þว 2์/๑,-1,759,Þว 2์/๑
0,753,Þว 4์/๑,+1,752,Þว 4์/๑
+1,748,ัว 3์/๑,0,748,ัว 3์/๑
0,748,ว 1์/๑,-1,746,ว 1์/๑
+4,737,Þว 5์/๑,+1,740,Þว 5์/๑
+1,750,ั 2์/๑,0,754,ั 2์/๑
0,758,ว 2์/๑,0,759,ว 2์/๑
+1,760,Þว 2์/๑,+1,761,Þว 2์/๑
+2,762,ว 2์/๑,+2,762,ว 2์/๑
+2,762,ว 2์/๑,+2,763,ว 2์/๑
+1,765,ว 1์/๑,0,765,ว 1์/๑
+1,764,Þว 3์/๑,0,763,Þว 3์/๑
-1,759,ว 2์/๑,-1,759,ว 2์/๑
-2,760,Þย 1์/๑,-3,759,Þย 1์/๑
-3,754,Þ 2์/๑,-3,752,Þ 2์/๑
-1,747,Þว 2์/๑,-1,746,Þว 2์/๑
-3,749,ัว 1์/๑,-3,750,ัว 1์/๑
-4,752,ุ,-5,751,ุ
-3,752,ย 4์/๑,-2,750,ย 4์/๑
+4,749,Þว 1์/๑,+5,750,Þว 1์/๑
+4,749,ย 2์/๑,+6,745,ย 2์/๑
+2,749,ัว 2์/๑,0,750,ัว 2์/๑
+2,742,ย 4์/๑,+5,739,ย 4์/๑
+3,744,ั 1์/๑,+1,747,ั 1์/๑
-1,751,ัย 2์/๑,-3,751,ัย 2์/๑
+1,749,ย 3์/๑,0,749,ย 3์/๑
0,754,ย 2์/๑,0,756,ย 2์/๑
-2,761,ย 2์/๑,-3,762,ย 2์/๑
-6,765,ย 2์/๑,-9,766,ย 2์/๑
-12,766,ย 2์/๑,-13,767,ย 2์/๑
-11,769,ย 2์/๑,-11,769,ย 2์/๑
-12,774,ย 4์/๑,-14,774,ย 4์/๑
-12,775,ัย 1์/๑,-13,775,ัย 1์/๑
-12,777,ั 1์/๑,-15,775,ั 1์/๑
-10,768,ัย 2์/๑,-15,768,ัย 2์/๑
-14,770,Þย 2์/๑,-16,771,Þย 2์/๑
-15,774,ย 2์/๑,-17,775,ย 2์/๑
-15,776,ย 1์/๑,-16,775,ย 1์/๑
-15,772,ย 3์/๑,-15,770,ย 3์/๑
-11,763,ัย 2์/๑,-14,761,ัย 2์/๑
-15,757,ั 1์/๑,-18,757,ั 1์/๑
-22,756,ัว 3์/๑,-23,756,ัว 3์/๑
-18,760,ัว 2์/๑,-18,761,ัว 2์/๑
-13,763,ุ,-14,763,ุ
-9,756,Þว 3์/๑,-7,752,Þว 3์/๑
-5,752,Þว 3์/๑,-5,749,Þว 3์/๑
+2,749,Þว 2์/๑,+1,751,Þว 2์/๑
-3,749,Þ 2์/๑,-2,748,Þ 2์/๑
-9,746,ว 1์/๑,-9,746,ว 1์/๑
-8,748,ัว 1์/๑,-8,748,ัว 1์/๑
-8,750,ว 1์/๑,-10,752,ว 1์/๑
-10,756,ว 1์/๑,-12,755,ว 1์/๑
-8,751,ย 2์/๑,-5,749,ย 2์/๑
-1,744,ว 3์/๑,-1,745,ว 3์/๑
-1,746,ว 2์/๑,-3,746,ว 2์/๑
-5,748,ย 2์/๑,-4,748,ย 2์/๑
-5,752,ย 2์/๑,-6,753,ย 2์/๑
-8,752,ย 2์/๑,-9,751,ย 2์/๑
-7,745,ั 3์/๑,-10,745,ั 3์/๑
-10,747,ั 1์/๑,-13,747,ั 1์/๑
-13,750,ุ,-17,751,ุ
-16,753,ว 2์/๑,-18,753,ว 2์/๑
-12,746,ว 2์/๑,-12,745,ว 2์/๑
-10,746,ว 3์/๑,-11,747,ว 3์/๑
-5,749,ว 2์/๑,-8,751,ว 2์/๑
-7,753,ว 2์/๑,-9,753,ว 2์/๑
-10,753,Þย 3์/๑,-10,754,Þย 3์/๑
-7,751,Þย 3์/๑,-7,749,Þย 3์/๑
-5,746,Þ 2์/๑,-4,746,Þ 2์/๑
+1,743,Þ 1์/๑,+1,743,Þ 1์/๑
-3,742,Þ 1์/๑,-3,739,Þ 1์/๑
-9,738,ว 3์/๑,-14,741,ว 3์/๑
-13,745,ว 2์/๑,-15,745,ว 2์/๑
-11,743,ัย 2์/๑,-11,741,ัย 2์/๑
-11,743,ว 3์/๑,-15,746,ว 3์/๑
-12,756,ว 1์/๑,-19,758,ว 1์/๑
-15,760,ว 2์/๑,-19,760,ว 2์/๑
-14,761,ย 1์/๑,-18,762,ย 1์/๑
-15,759,ย 2์/๑,-18,759,ย 2์/๑
-13,757,ย 3์/๑,-11,756,ย 3์/๑
-4,749,ย 4์/๑,-5,747,ย 4์/๑
-5,743,ัว 1์/๑,-12,743,ัว 1์/๑
-8,747,ย 1์/๑,-8,750,ย 1์/๑
-3,754,Þย 1์/๑,-2,755,Þย 1์/๑
-1,749,Þย 3์/๑,-2,745,Þย 3์/๑
0,745,Þว 3์/๑,-1,747,Þว 3์/๑
-1,754,ว 2์/๑,-5,756,ว 2์/๑
-4,761,Þย 2์/๑,-7,761,Þย 2์/๑
-5,763,Þย 2์/๑,-7,764,Þย 2์/๑
-5,766,ย 2์/๑,-9,766,ย 2์/๑
-6,764,Þย 2์/๑,-7,764,Þย 2์/๑
-6,762,Þย 3์/๑,-8,762,Þย 3์/๑
-4,761,Þย 2์/๑,-7,762,Þย 2์/๑
-4,763,Þย 1์/๑,-8,763,Þย 1์/๑
-6,765,ย 2์/๑,-9,764,ย 2์/๑
-5,762,ย 3์/๑,-8,761,ย 3์/๑
-6,757,ย 4์/๑,-6,755,ย 4์/๑
-1,753,ย 3์/๑,-3,753,ย 3์/๑
-5,750,Þย 2์/๑,-9,749,Þย 2์/๑
-6,750,Þย 2์/๑,-9,751,Þย 2์/๑
-9,753,ว 2์/๑,-13,754,ว 2์/๑
-8,755,Þว 2์/๑,-10,755,Þว 2์/๑
-8,753,ว 2์/๑,-12,753,ว 2์/๑
-7,758,ัว 2์/๑,-12,760,ัว 2์/๑
-4,758,Þว 3์/๑,-7,760,Þว 3์/๑
-3,759,ว 3์/๑,-6,759,ว 3์/๑
-2,758,ว 2์/๑,-5,755,ว 2์/๑
-5,741,ว 3์/๑,-9,744,ว 3์/๑
-9,743,Þว 6์/๑,-8,738,Þว 6์/๑
+3,756,Þ 2์/๑,+4,756,Þ 2์/๑
+11,755,Þ 2์/๑,+7,754,Þ 2์/๑
+12,754,Þย 2์/๑,+10,753,Þย 2์/๑
+13,753,ย 3์/๑,+6,754,ย 3์/๑
+11,751,ย 3์/๑,+11,751,ย 3์/๑
+18,744,Þว 3์/๑,+12,743,Þว 3์/๑
+13,740,Þ 1์/๑,+9,739,Þ 1์/๑
+5,744,ว 2์/๑,+3,745,ว 2์/๑
+2,745,ั 2์/๑,+1,747,ั 2์/๑
+8,751,ัย 4์/๑,+5,749,ัย 4์/๑
+2,749,ัว 3์/๑,+1,751,ัว 3์/๑
+2,753,ั 1์/๑,0,752,ั 1์/๑
+1,753,ัว 3์/๑,0,754,ัว 3์/๑
+2,755,ั 2์/๑,+2,757,ั 2์/๑
+9,759,ั 2์/๑,+5,761,ั 2์/๑
+13,759,ว 2์/๑,+11,757,ว 2์/๑
+17,753,ัว 4์/๑,+12,754,ัว 4์/๑
+18,753,ว 3์/๑,+16,752,ว 3์/๑
+21,750,Þว 2์/๑,+13,750,Þว 2์/๑
+23,748,ว 3์/๑,+12,747,ว 3์/๑
+24,743,Þว 2์/๑,+19,743,Þว 2์/๑
+17,743,ั 2์/๑,+12,744,ั 2์/๑
+17,744,ั 3์/๑,+10,745,ั 3์/๑
+15,744,ั 2์/๑,+12,743,ั 2์/๑
+12,742,Þ 2์/๑,+9,742,Þ 2์/๑
+8,737,ั 2์/๑,+8,739,ั 2์/๑
+13,743,ว 4์/๑,+12,741,ว 4์/๑
+15,742,ัว 2์/๑,+13,743,ัว 2์/๑
+11,747,ัว 4์/๑,+9,752,ัว 4์/๑
+15,756,ว 2์/๑,+13,754,ว 2์/๑
+18,752,ัว 2์/๑,+15,751,ัว 2์/๑
+18,754,ั 2์/๑,+9,756,ั 2์/๑
+20,755,ว 3์/๑,+16,753,ว 3์/๑
+18,753,ัย 2์/๑,+15,753,ัย 2์/๑
+25,749,Þว 2์/๑,+23,747,Þว 2์/๑
+19,743,ว 2์/๑,+11,746,ว 2์/๑
+13,750,ั 4์/๑,+10,752,ั 4์/๑
+18,752,ั 2์/๑,+10,751,ั 2์/๑
+22,751,ัว 2์/๑,+13,752,ัว 2์/๑
+23,750,Þว 4์/๑,+21,748,Þว 4์/๑
+26,745,ว 4์/๑,+16,748,ว 4์/๑
+23,747,Þย 2์/๑,+21,746,Þย 2์/๑
+27,747,ัว 1์/๑,+22,748,ัว 1์/๑
+28,748,Þย 1์/๑,+18,748,Þย 1์/๑
+27,749,ัว 3์/๑,+18,750,ัว 3์/๑
+31,750,ว 2์/๑,+23,750,ว 2์/๑
+27,750,ัว 3์/๑,+20,750,ัว 3์/๑
+21,749,ัว 3์/๑,+15,749,ัว 3์/๑
+16,751,ัย 3์/๑,+12,752,ัย 3์/๑
+20,749,ว 3์/๑,+16,746,ว 3์/๑
+16,745,ั 3์/๑,+11,747,ั 3์/๑
+15,751,ัว 2์/๑,+13,751,ัว 2์/๑
+15,753,Þย 2์/๑,+14,754,Þย 2์/๑
+23,754,Þย 3์/๑,+20,753,Þย 3์/๑
+28,751,Þ 2์/๑,+23,751,Þ 2์/๑
+29,749,Þ 2์/๑,+25,748,Þ 2์/๑
+28,748,ัว 1์/๑,+24,748,ัว 1์/๑
+29,747,ัย 2์/๑,+26,748,ัย 2์/๑
+24,750,ว 2์/๑,+19,749,ว 2์/๑
+27,746,ย 3์/๑,+18,746,ย 3์/๑
+21,745,Þย 2์/๑,+18,745,Þย 2์/๑
+19,746,ย 1์/๑,+18,745,ย 1์/๑
+24,745,Þย 2์/๑,+18,746,Þย 2์/๑
+26,745,ัย 2์/๑,+20,745,ัย 2์/๑
+27,745,ัว 2์/๑,+15,745,ัว 2์/๑
+20,744,ว 3์/๑,+15,746,ว 3์/๑
+19,746,ว 3์/๑,+13,747,ว 3์/๑
+21,748,ัย 2์/๑,+16,749,ัย 2์/๑
+24,748,ว 2์/๑,+14,747,ว 2์/๑
+21,746,ั 1์/๑,+16,746,ั 1์/๑
+25,748,ว 2์/๑,+15,748,ว 2์/๑
+29,749,Þว 2์/๑,+19,748,Þว 2์/๑
+31,748,ว 3์/๑,+21,747,ว 3์/๑
+21,749,ัว 1์/๑,+18,750,ัว 1์/๑
+22,754,ัย 2์/๑,+18,755,ัย 2์/๑
+24,755,ั 1์/๑,+14,754,ั 1์/๑
+30,752,ว 1์/๑,+21,751,ว 1์/๑
+33,749,Þ 2์/๑,+27,747,Þ 2์/๑
+32,745,Þ 2์/๑,+27,744,Þ 2์/๑
+26,743,ั 2์/๑,+22,742,ั 2์/๑
+29,741,Þว 3์/๑,+24,742,Þว 3์/๑
+23,743,Þ 3์/๑,+19,745,Þ 3์/๑
+19,748,ย 2์/๑,+16,747,ย 2์/๑
+25,744,ัว 2์/๑,+20,744,ัว 2์/๑
+29,743,ัย 4์/๑,+26,744,ัย 4์/๑
+30,746,ัย 2์/๑,+26,747,ัย 2์/๑
+32,748,ย 2์/๑,+25,749,ย 2์/๑
+31,748,ั 2์/๑,+22,748,ั 2์/๑
+23,748,ย 2์/๑,+24,747,ย 2์/๑
+33,744,ัว 3์/๑,+24,744,ัว 3์/๑
+27,744,ัย 3์/๑,+22,744,ัย 3์/๑
+27,747,Þย 1์/๑,+22,747,Þย 1์/๑
+27,747,ัย 2์/๑,+23,747,ัย 2์/๑
+27,747,ั 2์/๑,+22,748,ั 2์/๑
+26,750,ย 2์/๑,+22,751,ย 2์/๑
+29,750,ัย 1์/๑,+24,750,ัย 1์/๑
+33,750,ว 2์/๑,+22,750,ว 2์/๑
+32,750,ัย 2์/๑,+28,750,ัย 2์/๑
+25,748,Þ 1์/๑,+25,746,Þ 1์/๑
+26,741,ว 2์/๑,+22,741,ว 2์/๑
+23,738,ว 2์/๑,+19,738,ว 2์/๑
+24,738,Þ 1์/๑,+19,740,Þ 1์/๑
+26,741,ัว 1์/๑,+23,742,ัว 1์/๑
+28,743,ัว 3์/๑,+22,744,ัว 3์/๑
+24,747,ัว 3์/๑,+19,748,ัว 3์/๑
+26,749,ว 2์/๑,+16,749,ว 2์/๑
+29,746,ว 3์/๑,+24,745,ว 3์/๑
+27,741,Þย 1์/๑,+19,742,Þย 1์/๑
+24,744,ัว 4์/๑,+20,745,ัว 4์/๑
+25,745,ั 1์/๑,+20,745,ั 1์/๑
+28,744,ัย 1์/๑,+18,745,ัย 1์/๑
+30,741,ัว 1์/๑,+20,740,ัว 1์/๑
+23,739,ว 2์/๑,+15,741,ว 2์/๑
+25,744,ว 2์/๑,+22,744,ว 2์/๑
+24,742,Þย 2์/๑,+18,742,Þย 2์/๑
+20,740,ว 2์/๑,+17,740,ว 2์/๑
+20,738,Þ 2์/๑,+19,737,Þ 2์/๑
+19,737,ัย 2์/๑,+15,739,ัย 2์/๑
+26,741,ว 3์/๑,+17,742,ว 3์/๑
+25,742,Þย 1์/๑,+18,743,Þย 1์/๑
+27,741,Þย 2์/๑,+22,741,Þย 2์/๑
+24,737,ว 2์/๑,+20,736,ว 2์/๑
+19,733,ว 1์/๑,+18,733,ว 1์/๑
+21,735,ัว 2์/๑,+20,737,ัว 2์/๑
+23,740,ว 2์/๑,+19,741,ว 2์/๑
+26,742,ว 2์/๑,+18,742,ว 2์/๑
+21,743,ัย 1์/๑,+23,743,ัย 1์/๑
+28,742,ั 2์/๑,+21,743,ั 2์/๑
+18,744,ั 2์/๑,+16,745,ั 2์/๑
+20,744,ั 2์/๑,+18,745,ั 2์/๑
+23,745,ั 2์/๑,+20,746,ั 2์/๑
+26,745,ัย 2์/๑,+18,746,ัย 2์/๑
+29,748,ว 1์/๑,+19,748,ว 1์/๑
+30,750,ว 3์/๑,+19,750,ว 3์/๑
+31,750,ว 1์/๑,+22,751,ว 1์/๑
+33,751,ว 3์/๑,+22,752,ว 3์/๑
+34,752,ุ,+26,752,ุ
+32,751,Þ 3์/๑,+23,751,Þ 3์/๑
+29,750,ั 1์/๑,+22,751,ั 1์/๑
+22,750,ั 3์/๑,+19,751,ั 3์/๑
+20,750,ย 1์/๑,+18,750,ย 1์/๑
+24,750,ั 2์/๑,+20,751,ั 2์/๑
+25,751,ัย 2์/๑,+21,751,ัย 2์/๑
+27,750,ั 1์/๑,+21,751,ั 1์/๑
+28,750,ัว 2์/๑,+17,750,ัว 2์/๑
+29,748,ว 2์/๑,+19,748,ว 2์/๑
+27,747,Þ 1์/๑,+19,747,Þ 1์/๑
+21,744,ั 2์/๑,+12,746,ั 2์/๑
+17,750,ั 3์/๑,+12,752,ั 3์/๑
+17,754,ั 2์/๑,+10,754,ั 2์/๑
+22,753,ว 2์/๑,+15,753,ว 2์/๑
+23,752,ว 2์/๑,+19,752,ว 2์/๑
+28,749,Þ 2์/๑,+22,747,Þ 2์/๑
+20,745,Þย 2์/๑,+15,744,Þย 2์/๑
+18,743,Þว 3์/๑,+16,745,Þว 3์/๑
+21,745,ว 3์/๑,+18,746,ว 3์/๑
+22,746,ัย 1์/๑,+18,745,ัย 1์/๑
+24,744,ย 2์/๑,+19,743,ย 2์/๑
+20,744,Þ 2์/๑,+16,748,Þ 2์/๑
+18,752,Þย 1์/๑,+14,752,Þย 1์/๑
+20,750,Þย 1์/๑,+16,749,Þย 1์/๑
+20,748,ว 2์/๑,+14,747,ว 2์/๑
+14,742,ย 1์/๑,+13,743,ย 1์/๑
+15,748,ัย 2์/๑,+13,750,ัย 2์/๑
+18,752,ั 1์/๑,+15,753,ั 1์/๑
+18,753,ัว 1์/๑,+12,754,ัว 1์/๑
+19,754,Þย 1์/๑,+11,754,Þย 1์/๑
+20,753,Þ 1์/๑,+16,752,Þ 1์/๑
+20,750,ย 1์/๑,+17,749,ย 1์/๑
+15,749,Þย 2์/๑,+13,749,Þย 2์/๑
+13,750,ย 3์/๑,+12,750,ย 3์/๑
+14,751,ย 3์/๑,+11,751,ย 3์/๑
+14,750,ย 2์/๑,+14,750,ย 2์/๑
+11,747,Þย 3์/๑,+10,746,Þย 3์/๑
+16,745,Þ 1์/๑,+13,743,Þ 1์/๑
+14,737,Þ 2์/๑,+12,737,Þ 2์/๑
+12,733,Þ 2์/๑,+10,733,Þ 2์/๑
+11,733,Þว 2์/๑,+9,734,Þว 2์/๑
+9,740,ว 3์/๑,+6,742,ว 3์/๑
+8,744,Þ 1์/๑,+5,740,Þ 1์/๑
+4,737,ว 5์/๑,+5,743,ว 5์/๑
